YEAR,DISTRICT,VEHICLE AT FAULT,VICTIM,TYPE OF ACCIDENT,# INJURED,# KILLED ,,,
2008,NORTH EAST DELHI,BUS OTR,S/C & M/C,SIMPLE ACCIDENT,1,0,,,
2008,NORTH WEST DELHI,UNKNOWN,PEDESTRIAN,SIMPLE ACCIDENT,1,0,,,
2008,EAST DELHI,PVT CAR,CYCLE,SIMPLE ACCIDENT,1,0,,,
2008,NORTH WEST DELHI,PVT CAR,S/C & M/C,SIMPLE ACCIDENT,3,0,,,
2008,NORTH DELHI(ROHINI),DTC BUS,CAR,SIMPLE ACCIDENT,1,0,,,
2008,SOUTH EAST DELHI,PVT CAR,CAR,SIMPLE ACCIDENT,1,0,,,
2008,NORTH WEST DELHI,TEMPO,S/C & M/C,SIMPLE ACCIDENT,1,0,,,
2008,SOUTH WEST DELHI,UNKNOWN,PEDESTRIAN,SIMPLE ACCIDENT,1,0,,,
2008,SOUTH EAST DELHI,HTV/GDS,PEDESTRIAN,SIMPLE ACCIDENT,1,0,,,
2008,WEST DELHI,UNKNOWN,PEDESTRIAN,FATAL ACCIDENT,0,1,,,
2008,SOUTH EAST DELHI,S/C&M/C,SELF,SIMPLE ACCIDENT,1,0,,,
2008,WEST DELHI,S/C&M/C,S/C & M/C,FATAL ACCIDENT,0,1,,,
2008,NORTH DELHI(ROHINI),UNKNOWN,S/C & M/C,SIMPLE ACCIDENT,1,0,,,
2008,CENTRAL DELHI,S/C&M/C,PEDESTRIAN,SIMPLE ACCIDENT,1,0,,,
2008,NEW DELHI,UNKNOWN,PEDESTRIAN,SIMPLE ACCIDENT,1,0,,,
2008,SHAHDARA,TEMPO,PEDESTRIAN,SIMPLE ACCIDENT,1,0,,,
2008,WEST DELHI,TRL/CON,PEDESTRIAN,SIMPLE ACCIDENT,1,0,,,
2008,SHAHDARA,HTV/GDS,CAR,NON INJURY,0,0,,,
2008,NEW DELHI,BLUE LN,CAR,NON INJURY,0,0,,,
2008,SHAHDARA,TEMPO,SELF,NON INJURY,0,0,,,
2008,SOUTH WEST DELHI,UNKNOWN,PEDESTRIAN,FATAL ACCIDENT,0,1,,,
2008,SOUTH WEST DELHI,TRACTOR,S/C & M/C,SIMPLE ACCIDENT,1,0,,,
2008,EAST DELHI,S/C&M/C,CYCLE,SIMPLE ACCIDENT,2,0,,,
2008,EAST DELHI,PVT CAR,CAR,SIMPLE ACCIDENT,4,0,,,
2008,EAST DELHI,BLUE LN,CYCLE,FATAL ACCIDENT,0,1,,,
2008,SOUTH EAST DELHI,TANKER,PEDESTRIAN,SIMPLE ACCIDENT,1,0,,,
2008,SOUTH WEST DELHI,TANKER,S/C & M/C,FATAL ACCIDENT,0,1,,,
2008,NORTH EAST DELHI,UNKNOWN,PEDESTRIAN,SIMPLE ACCIDENT,1,0,,,
2008,NORTH DELHI(ROHINI),PVT CAR,PEDESTRIAN,FATAL ACCIDENT,0,1,,,
2008,EAST DELHI,S/C&M/C,PEDESTRIAN,SIMPLE ACCIDENT,1,0,,,
2008,EAST DELHI,BLUE LN,CAR,NON INJURY,0,0,,,
2008,WEST DELHI,PVT CAR,PEDESTRIAN,SIMPLE ACCIDENT,1,0,,,
2008,NORTH DELHI(ROHINI),S/C&M/C,S/C & M/C,SIMPLE ACCIDENT,1,0,,,
2008,NEW DELHI,PVT CAR,S/C & M/C,SIMPLE ACCIDENT,1,0,,,
